o_iso,d_iso,year,Construction,Creative Industries,Environmental Technology,Financial Services,Industrial,Physical Sciences,Professional Services,Consumer Goods,Energy,"Food, Beverages & Tobacco",ICT & Electronics,Life sciences,Retail Trade,Tourism,Transport Equipment,"Transportation, Warehousing & Storage","Wood, Apparel & Related Products"
AUT,IND,2012,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,6,0
AUT,IND,2018,0,0,22,0,9,0,0,0,0,2,0,0,0,0,0,0,0
AUT,IND,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
AUT,IND,2016,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
AUT,IND,2005,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
AUT,IND,2006,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,6,0
AUT,IND,2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,IND,2015,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AUT,IRN,2016,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,IRN,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,IRN,2009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,IRQ,2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,ISR,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AUT,JOR,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUT,JPN,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,JPN,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,JPN,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AUT,JPN,2009,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0
AUT,JPN,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AUT,KAZ,2009,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
AUT,KAZ,2005,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,KAZ,2008,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
AUT,KAZ,2015,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
AUT,KOR,2014,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
AUT,KOR,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,KOR,2015,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AUT,KOR,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,KOR,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0
AUT,KOR,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,KOR,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,KOR,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUT,KWT,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,KWT,2004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,KWT,2009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,LBY,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,LIE,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AUT,LIE,2005,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,LIE,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
AUT,LKA,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,LKA,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUT,MAR,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AUT,MAR,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AUT,MDA,2006,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MDA,2016,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
AUT,MDA,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AUT,MDA,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AUT,MEX,2008,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MEX,2004,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MEX,2015,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0
AUT,MEX,2007,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MEX,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MEX,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MEX,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AUT,MEX,2017,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0
AUT,MEX,2018,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0
AUT,MEX,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
AUT,MEX,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
AUT,MKD,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MKD,2010,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MKD,2009,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
AUT,MKD,2012,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MKD,2006,0,0,0,1,0,0,0,0,43,0,0,0,0,0,0,1,0
AUT,MKD,2007,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
AUT,MKD,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,MKD,2005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUT,MKD,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUT,MMR,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MMR,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
AUT,MNE,2011,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,MNE,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AUT,MYS,2004,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
AUT,MYS,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AUT,MYS,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MYS,2014,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MYS,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,MYS,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
AUT,NOR,2006,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AUT,NOR,2007,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,NOR,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,NOR,2012,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
AUT,NZL,2011,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
AUT,NZL,2006,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
AUT,NZL,2008,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
AUT,NZL,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,NZL,2013,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
AUT,OMN,2004,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
AUT,OMN,2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AUT,OMN,2009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,PAK,2003,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
AUT,PAK,2009,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
AUT,PAK,2013,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
AUT,PAN,2015,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
AUT,PER,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AUT,PER,2013,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AUT,PHL,2015,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
AUT,PHL,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
AUT,QAT,2010,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,QAT,2004,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
AUT,QAT,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUT,RUS,2004,19,0,16,6,0,0,0,6,1,3,2,0,5,0,0,0,13
AUT,RUS,2005,26,0,20,6,0,0,0,0,0,0,2,0,0,0,0,0,19
AUT,RUS,2006,15,0,0,9,1,0,0,0,0,0,0,0,0,1,0,2,0
AUT,RUS,2007,64,0,2,2,3,24,0,0,0,2,0,0,1,0,0,0,0
AUT,RUS,2008,110,1,0,2,9,1,1,1,0,3,0,0,5,8,5,2,1
AUT,RUS,2009,14,0,0,4,0,9,0,0,0,5,0,0,5,0,0,7,0
AUT,RUS,2010,20,0,2,2,1,11,0,1,0,1,4,5,5,0,2,0,0
AUT,RUS,2011,2,0,0,1,0,5,0,0,0,11,0,0,1,0,17,0,0
AUT,RUS,2012,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0
AUT,RUS,2013,8,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0
AUT,RUS,2014,3,0,0,0,2,26,0,0,0,0,3,0,0,0,0,3,0
AUT,RUS,2017,9,0,0,0,4,1,0,0,2,4,0,0,0,0,0,0,0
AUT,RUS,2018,9,0,0,0,4,22,0,12,0,0,0,0,1,0,0,0,0
AUT,RUS,2003,0,0,17,1,0,0,0,0,3,0,0,0,0,0,0,0,4
AUT,RUS,2015,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,18
AUT,RUS,2016,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,21
AUT,SAU,2015,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
AUT,SAU,2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AUT,SAU,2008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,SAU,2009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,SAU,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUT,SGP,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AUT,SGP,2009,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUT,SGP,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,SGP,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AUT,SGP,2015,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0
AUT,SGP,2017,0,0,0,0,1,0,0,0,0,0,78,0,0,0,0,1,0
AUT,SGP,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,SGP,2011,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
AUT,SGP,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,SGP,2007,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
AUT,SGP,2004,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
AUT,SGP,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
AUT,SRB,2005,4,0,1,19,0,0,0,0,0,0,0,0,19,3,0,2,0
AUT,SRB,2007,7,0,0,5,0,0,3,0,0,3,0,0,0,16,0,0,0
AUT,SRB,2008,28,0,7,6,0,0,2,0,0,59,0,0,0,16,7,9,0
AUT,SRB,2009,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
AUT,SRB,2010,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
AUT,SRB,2012,19,2,0,6,0,0,3,0,0,1,0,0,3,0,0,2,0
AUT,SRB,2013,1,0,0,0,1,0,0,1,0,0,1,0,0,4,0,0,0
AUT,SRB,2014,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
AUT,SRB,2015,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,SRB,2016,29,0,7,0,0,0,1,0,0,0,1,0,0,0,0,1,0
AUT,SRB,2017,4,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AUT,SRB,2018,9,3,0,2,0,0,0,0,0,0,0,0,2,0,1,11,0
